Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
51,tt20115114,2025-10-29,2025-10-29,,"An Ostrich Told Me the World Is Fake and I Think I Believe It","An Ostrich Told Me the World Is Fake and I Think I Believe It",https://www.imdb.com/title/tt20115114/,Short,7.2,11,2022,"Animation, Short, Comedy, Fantasy",2315,2022-06-07,"Lachlan Pendragon",6,2023-06-23
52,tt22054902,2025-10-29,2025-10-29,,"Ivalu","Ivalu",https://www.imdb.com/title/tt22054902/,Short,6.3,16,2023,"Short, Drama",1443,2023-01-22,"Anders Walter, Pipaluk K. Jørgensen",7,2023-06-23
53,tt17162620,2025-10-29,2025-10-29,,"Vikhod","Vikhod",https://www.imdb.com/title/tt17162620/,Short,7.2,25,2022,"Documentary, Short",1857,2022-02,"Maksim Arbugaev, Evgenia Arbugaeva",7,2023-06-23
54,tt19781688,2025-10-29,2025-10-29,,"Ice Merchants","Ice Merchants",https://www.imdb.com/title/tt19781688/,Short,7.6,14,2022,"Animation, Short, Drama, Fantasy",3209,2023-02-16,"João Gonzalez",7,2023-06-23
55,tt22667880,2025-10-29,2025-10-29,,"The Boy, the Mole, the Fox and the Horse","The Boy, the Mole, the Fox and the Horse",https://www.imdb.com/title/tt22667880/,Short,7.8,32,2022,"Animation, Short, Adventure, Comedy, Drama, Family, Fantasy",21646,2022-12-25,"Peter Baynton, Charlie Mackesy",7,2023-06-28
56,tt14683452,2025-10-29,2025-10-29,,"Young Plato","Young Plato",https://www.imdb.com/title/tt14683452/,Movie,7.8,102,2021,"Documentary",460,2022-03-18,"Declan McGrath, Neasa Ní Chianáin",7,2023-07-06
57,tt24132732,2025-10-29,2025-10-29,,"The Deepest Breath","The Deepest Breath",https://www.imdb.com/title/tt24132732/,Movie,7.7,108,2023,"Documentary, Adventure, Sport",16885,2023-07-14,"Laura McGann",7,2023-08-03
58,tt21364460,2025-10-29,2025-10-29,,"Anhell69","Anhell69",https://www.imdb.com/title/tt21364460/,Movie,7.1,75,2022,"Documentary, Drama",376,2023-07-27,"Theo Montoya",7,2023-09-04
59,tt10857582,2025-10-29,2025-10-29,,"Los Tigres del Norte at Folsom Prison","Los Tigres del Norte at Folsom Prison",https://www.imdb.com/title/tt10857582/,TV Special,7.0,64,2019,"Documentary, Music",217,2019-09-15,"Tom Donahue",7,2023-09-09
60,tt9660502,2025-10-29,2025-10-29,,"Close","Close",https://www.imdb.com/title/tt9660502/,Movie,7.8,104,2022,"Drama",45854,2022-11-01,"Lukas Dhont",7,2023-09-24
61,tt16428256,2025-10-29,2025-10-29,,"Suzume no Tojimari","Suzume no Tojimari",https://www.imdb.com/title/tt16428256/,Movie,7.6,122,2022,"Animation, Adventure, Drama, Fantasy",59077,2023-04-20,"Makoto Shinkai",7,2023-09-29
62,tt0404030,2025-10-29,2025-10-29,,"Everything Is Illuminated","Everything Is Illuminated",https://www.imdb.com/title/tt0404030/,Movie,7.4,106,2005,"Comedy, Drama",61133,2005-11-04,"Liev Schreiber",7,2024-01-15
63,tt0088083,2025-10-29,2025-10-29,,"Seksmisja","Seksmisja",https://www.imdb.com/title/tt0088083/,Movie,7.5,122,1984,"Adventure, Comedy, Sci-Fi",15446,1984-05-14,"Juliusz Machulski",7,2024-01-03
64,tt19719976,2025-10-29,2025-10-29,,"Joyland","Joyland",https://www.imdb.com/title/tt19719976/,Movie,7.6,126,2022,"Comedy, Crime, Drama",8054,2022-11-18,"Saim Sadiq",7,2024-02-06
65,tt14570440,2025-10-29,2025-10-29,,"Radical","Radical",https://www.imdb.com/title/tt14570440/,Movie,7.8,125,2023,"Drama",7392,2023-10-20,"Christopher Zalla",7,2024-02-15
66,tt15109082,2025-10-29,2025-10-29,,"The Quiet Girl","An Cailín Ciúin",https://www.imdb.com/title/tt15109082/,Movie,7.7,95,2022,"Drama",27365,2022-05-13,"Colm Bairéad",8,2024-02-22
67,tt21192142,2025-10-29,2025-10-29,,"All of us Strangers","All of Us Strangers",https://www.imdb.com/title/tt21192142/,Movie,7.6,105,2023,"Drama, Romance",75983,2023-12-22,"Andrew Haigh",7,2024-03-08
68,tt5222918,2025-10-29,2025-10-29,,"El otro lado de la esperanza","Toivon tuolla puolen",https://www.imdb.com/title/tt5222918/,Movie,7.2,100,2017,"Comedy, Drama",14659,2019-03-21,"Aki Kaurismäki",7,2024-03-14
69,tt0456144,2025-10-29,2025-10-29,,"Lage Raho Munna Bhai","Lage Raho Munna Bhai",https://www.imdb.com/title/tt0456144/,Movie,8.0,144,2006,"Comedy, Drama, Romance",52834,2006-09-01,"Rajkumar Hirani",7,2024-04-06
70,tt2140203,2025-10-29,2025-10-29,,"Ôkami kodomo no Ame to Yuki","Ôkami kodomo no Ame to Yuki",https://www.imdb.com/title/tt2140203/,Movie,8.1,117,2012,"Animation, Drama, Family, Fantasy",53678,2012-07-21,"Mamoru Hosoda",9,2024-04-12
71,tt8075192,2025-10-29,2025-10-29,,"Un asunto de familia","Manbiki kazoku",https://www.imdb.com/title/tt8075192/,Movie,7.9,121,2018,"Crime, Drama, Thriller",93573,2019-02-28,"Hirokazu Koreeda",7,2024-04-23
72,tt13429870,2025-10-29,2025-10-29,,"Robot Dreams","Robot Dreams",https://www.imdb.com/title/tt13429870/,Movie,7.6,103,2023,"Animation, Comedy, Drama, Family",23347,2023-12-06,"Pablo Berger",7,2024-06-14
73,tt14849194,2025-10-29,2025-10-29,,"The Holdovers","The Holdovers",https://www.imdb.com/title/tt14849194/,Movie,7.9,133,2023,"Comedy, Drama",220639,2023-11-10,"Alexander Payne",8,2024-05-02
74,tt2192016,2025-10-29,2025-10-29,,"El renacer de un campeón","The Dark Horse",https://www.imdb.com/title/tt2192016/,Movie,7.4,124,2014,"Biography, Drama",6809,2014-11-20,"James Napier Robertson",7,2024-05-30
75,tt0101605,2025-10-29,2025-10-29,,"The Commitments","The Commitments",https://www.imdb.com/title/tt0101605/,Movie,7.6,118,1991,"Comedy, Drama, Music",41961,1991-09-13,"Alan Parker",7,2024-06-17
76,tt22165078,2025-10-29,2025-10-29,,"Born to Fly","Born to Fly",https://www.imdb.com/title/tt22165078/,Movie,7.7,96,2022,"Documentary, Biography, Sport",348,2022-09-30,"Brennan Robideaux",7,2025-11-03
77,tt14561712,2025-10-29,2025-10-29,,"La quimera","La chimera",https://www.imdb.com/title/tt14561712/,Movie,7.3,131,2023,"Adventure, Comedy, Drama, Romance",20031,2023-10-12,"Alice Rohrwacher",7,2024-08-17
78,tt15906730,2025-10-29,2025-10-29,,"El árbol rojo","El árbol rojo",https://www.imdb.com/title/tt15906730/,Movie,7.4,94,2021,"Drama",101,2022-09-01,"Joan Gomez Endara",7,2024-08-20
79,tt0395797,2025-10-29,2025-10-29,,"Ultimate Gretzky","Ultimate Gretzky",https://www.imdb.com/title/tt0395797/,Video,8.2,120,2003,"Documentary, Biography, Sport",210,2003-11-18,"Unkown Director",7,2025-01-24
